0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
2室2厅1厨1卫        ,中楼层(共11层)          ,79.12㎡          ,平层              ,暂无数据         ,板楼       ,南 北   ,未知 ,精装     ,钢混结构  , ,一梯两户           ,暂无数据           ,1.07104E+11,商品房          ,5/26/2021,普通住宅          ,暂无数据       ,共有           ,236万,29829,2021.05.26 成交,东亚阳光里 2室2厅 79.12平米,240挂牌价格（万）,1成交周期（天）,0调价（次）,带看（次）,0关注（人）,1浏览（次）
4室2厅1厨3卫        ,低楼层(共4层)          ,195.91㎡          ,复式              ,暂无数据         ,板楼       ,南   ,2015,毛坯     ,钢混结构  , ,一梯两户           ,有           ,1.07104E+11,商品房          ,2/27/2021,普通住宅          ,暂无数据       ,共有           ,1060万,54107,2021.05.26 成交,当代万国府MOMA 4室2厅 195.91平米,1150挂牌价格（万）,89成交周期（天）,3调价（次）,带看（次）,39关注（人）,9333浏览（次）
2室1厅1厨1卫        ,高楼层(共6层)          ,64.44㎡          ,暂无数据              ,暂无数据         ,板楼       ,东 东南   ,1995,毛坯     ,砖混结构  , ,一梯四户           ,无           ,1.07104E+11,商品房          ,5/23/2021,普通住宅          ,暂无数据       ,非共有           ,309万,47952,2021.05.26 成交,丰庄一村 2室1厅 64.44平米,315挂牌价格（万）,4成交周期（天）,1调价（次）,带看（次）,3关注（人）,407浏览（次）
2室2厅1厨1卫        ,低楼层(共6层)          ,94.32㎡          ,平层              ,83.08㎡         ,板楼       ,南 北   ,2007,简装     ,钢混结构  , ,一梯两户           ,无           ,1.07104E+11,商品房          ,5/1/2021,普通住宅          ,暂无数据       ,共有           ,209万,22138,2021.05.26 成交,欣梅苑 2室2厅 94.32平米,215挂牌价格（万）,26成交周期（天）,1调价（次）,带看（次）,26关注（人）,2391浏览（次）
3室2厅1厨2卫        ,中楼层(共8层)          ,131.12㎡          ,平层              ,暂无数据         ,板塔结合       ,南   ,1995,精装     ,钢混结构  , ,一梯四户           ,有           ,1.07104E+11,商品房          ,5/20/2021,普通住宅          ,暂无数据       ,共有           ,1046万,79775,2021.05.26 成交,爱都公寓 3室2厅 131.12平米,1048挂牌价格（万）,7成交周期（天）,0调价（次）,带看（次）,19关注（人）,1793浏览（次）
2室1厅1厨1卫        ,低楼层(共6层)          ,59.73㎡          ,平层              ,暂无数据         ,板楼       ,南   ,1995,精装     ,砖混结构  , ,一梯三户           ,无           ,1.07104E+11,商品房          ,4/21/2021,普通住宅          ,暂无数据       ,非共有           ,338万,56588,2021.05.26 成交,西湖苑 2室1厅 59.73平米,338挂牌价格（万）,36成交周期（天）,2调价（次）,带看（次）,30关注（人）,3961浏览（次）
3室2厅1厨1卫        ,高楼层(共18层)          ,93.83㎡          ,平层              ,暂无数据         ,板楼       ,南   ,2015,精装     ,钢混结构  , ,一梯两户           ,有           ,1.07104E+11,商品房          ,2021-04-06,普通住宅          ,暂无数据       ,非共有           ,510万,54354,2021.05.05 成交,金地自在城(二期) 3室2厅 93.83平米,495挂牌价格（万）,30成交周期（天）,0调价（次）,带看（次）,35关注（人）,5183浏览（次）
3室1厅1厨1卫        ,低楼层(共6层)          ,72.85㎡          ,平层              ,暂无数据         ,板楼       ,南 北   ,1986,简装     ,砖混结构  , ,一梯四户           ,无           ,1.07104E+11,商品房          ,2021-04-03,普通住宅          ,暂无数据       ,共有           ,310万,42554,2021.05.05 成交,新闵小区 3室1厅 72.85平米,310挂牌价格（万）,33成交周期（天）,0调价（次）,带看（次）,27关注（人）,4445浏览（次）
2室1厅1厨1卫        ,中楼层(共5层)          ,52.48㎡          ,平层              ,暂无数据         ,板楼       ,南   ,1986,简装     ,砖混结构  , ,一梯三户           ,无           ,1.07103E+11,商品房          ,2020-08-26,普通住宅          ,暂无数据       ,非共有           ,120万,22866,2021.05.05 成交,解放新村 2室1厅 52.48平米,120挂牌价格（万）,253成交周期（天）,2调价（次）,带看（次）,48关注（人）,9112浏览（次）
3室2厅1厨2卫        ,高楼层(共6层)          ,115.08㎡          ,平层              ,暂无数据         ,板楼       ,南   ,1998,简装     ,砖混结构  , ,一梯两户           ,无           ,1.07104E+11,商品房          ,2021-03-06,普通住宅          ,暂无数据       ,非共有           ,750万,65173,2021.05.05 成交,海东公寓 3室2厅 115.08平米,760挂牌价格（万）,61成交周期（天）,1调价（次）,带看（次）,32关注（人）,7517浏览（次）
