Rooms,Floor,Area,HouseStructure,BuildingType,HouseOrientation,ConstructionTime,RenovationCondition,BuildingStructure,LadderRatio,Elevator,挂牌时间,TotalPrice,UnitPrice,TradeTime,DOM,Followers,HouseName1,Bedroom,Livingroom,Kitchen,Bathroom,HouseStructure_cat,BuildingType_cat,HouseOrientation_cat,RenovationCondition_cat,BuildingStructure_cat,Elevator_cat,Floor_cat
2室2厅1厨2卫        ,中,119,平层              ,板楼       ,南   ,1996-01-01,精装     ,钢混结构  ,两梯五户           ,有           ,2020-12-01,945,79286,2021-05-05,156,416,马赛花园,2,2,1,2,1,3,18,3,3,1,0
2室2厅1厨1卫        ,中,98,平层              ,板楼       ,南 北   ,1998-01-01,简装     ,砖混结构  ,一梯两户           ,无           ,2021-02-27,246,24930,2021-05-05,68,99,东城花苑一村,2,2,1,1,1,3,23,2,2,0,0
3室1厅1厨1卫        ,高,91,,板楼       ,南   ,1998-01-01,简装     ,砖混结构  ,一梯两户           ,无           ,2021-03-28,268,29080,2021-05-05,39,18,南苑七村,3,1,1,1,-1,3,18,2,2,0,3
1室1厅1厨1卫        ,中,56,平层              ,板楼       ,南   ,2014-01-01,精装     ,钢混结构  ,两梯四户           ,有           ,2021-05-03,221,38935,2021-05-05,3,3,崧泽华城佳福雅苑（六区）,1,1,1,1,1,3,18,3,3,1,0
1室1厅1厨1卫        ,高,37,,板楼       ,南   ,1980-01-01,简装     ,砖混结构  ,一梯四户           ,无           ,2021-04-02,300,79471,2021-05-05,34,22,欣绿小区,1,1,1,1,-1,3,18,2,2,0,3
2室1厅1厨1卫        ,高,71,平层              ,板楼       ,南   ,1997-01-01,精装     ,砖混结构  ,一梯四户           ,无           ,2021-04-14,462,64337,2021-05-05,22,109,新梅花苑,2,1,1,1,1,3,18,3,2,0,3
1室1厅1厨1卫        ,低,46,平层              ,塔楼       ,南   ,2012-01-01,精装     ,钢混结构  ,两梯十五户           ,有           ,2021-04-29,202,43488,2021-05-05,7,0,万顺水原墅(公寓),1,1,1,1,1,0,18,3,3,1,1
1室0厅1厨1卫        ,中,29,平层              ,板楼       ,南   ,1987-01-01,简装     ,砖混结构  ,一梯七户           ,无           ,2021-04-12,203,68466,2021-05-05,24,26,太浜巷小区,1,0,1,1,1,3,18,2,2,0,0
3室2厅0厨1卫        ,低,89,平层              ,板楼       ,南 北   ,2008-01-01,精装     ,钢混结构  ,一梯两户           ,有           ,2021-04-12,430,47837,2021-05-05,24,30,万科四季花城,3,2,0,1,1,3,23,3,3,1,1
2室2厅1厨1卫        ,低,82,平层              ,板楼       ,南   ,1994-01-01,简装     ,砖混结构  ,一梯三户           ,无           ,2021-03-06,225,27207,2021-05-05,61,40,南苑四村,2,2,1,1,1,3,18,2,2,0,1
2室1厅1厨1卫        ,高,66,平层              ,板楼       ,南   ,1994-01-01,简装     ,砖混结构  ,一梯两户           ,无           ,2021-04-17,480,72257,2021-05-05,19,13,由由四村,2,1,1,1,1,3,18,2,2,0,3
1室1厅1厨1卫        ,高,38,平层              ,板楼       ,南   ,1988-01-01,简装     ,砖混结构  ,一梯四户           ,无           ,2021-04-21,190,49121,2021-05-05,15,9,逸仙一村,1,1,1,1,1,3,18,2,2,0,3
1室0厅1厨1卫        ,低,30,平层              ,板楼       ,北   ,1960-01-01,简装     ,砖混结构  ,一梯七户           ,无           ,2021-03-12,170,55982,2021-05-05,55,159,商业一村,1,0,1,1,1,3,13,2,2,0,1
2室1厅1厨1卫        ,高,68,,板楼       ,南   ,1997-01-01,简装     ,砖混结构  ,一梯两户           ,无           ,2021-04-25,323,47299,2021-05-05,11,0,共富一村,2,1,1,1,-1,3,18,2,2,0,3
3室2厅1厨2卫        ,低,117,,板楼       ,西南   ,1995-01-01,精装     ,钢混结构  ,两梯四户           ,有           ,2021-04-03,988,84373,2021-05-05,33,38,太子公寓,3,2,1,2,-1,3,35,3,3,1,1
3室1厅1厨1卫        ,低,90,平层              ,板楼       ,南   ,,简装     ,砖混结构  ,一梯三户           ,无           ,2021-04-01,200,22181,2021-05-05,35,9,育秀二区,3,1,1,1,1,3,18,2,2,0,1
3室1厅1厨1卫        ,低,80,,板楼       ,南   ,2016-01-01,毛坯     ,钢混结构  ,两梯四户           ,有           ,2021-03-13,410,50806,2021-05-05,54,42,宝祁雅苑(北区),3,1,1,1,-1,3,18,1,3,1,1
2室2厅1厨1卫        ,高,60,平层              ,板楼       ,南   ,1994-01-01,简装     ,砖混结构  ,一梯四户           ,无           ,2021-04-14,304,50091,2021-05-05,22,32,航华一村二街坊,2,2,1,1,1,3,18,2,2,0,3
1室1厅1厨1卫        ,低,48,平层              ,塔楼       ,南   ,1993-01-01,精装     ,钢混结构  ,两梯八户           ,有           ,2021-04-21,400,83109,2021-05-05,15,1,雪野二村,1,1,1,1,1,0,18,3,3,1,1
1室1厅1厨1卫        ,高,45,平层              ,板楼       ,南 西 北   ,1988-01-01,简装     ,砖混结构  ,一梯四户           ,无           ,2021-03-31,273,59935,2021-05-05,36,52,樱花苑,1,1,1,1,1,3,26,2,2,0,3
1室1厅1厨1卫        ,高,37,平层              ,板楼       ,南   ,1995-01-01,精装     ,砖混结构  ,一梯四户           ,无           ,2021-04-30,206,55526,2021-05-05,6,8,市光二村,1,1,1,1,1,3,18,3,2,0,3
2室2厅1厨1卫        ,中,82,,板楼       ,南   ,2013-01-01,精装     ,钢混结构  ,两梯四户           ,有           ,2021-05-01,251,30351,2021-05-05,5,0,天居玲珑湾,2,2,1,1,-1,3,18,3,3,1,0
1室1厅1厨1卫        ,高,56,平层              ,板楼       ,南   ,2011-01-01,精装     ,钢混结构  ,一梯三户           ,有           ,2021-03-24,250,44604,2021-05-05,43,53,欣佳宝邸,1,1,1,1,1,3,18,3,3,1,3
1室1厅1厨1卫        ,低,60,平层              ,板楼       ,南   ,2012-01-01,精装     ,钢混结构  ,两梯四户           ,有           ,2021-03-31,270,44814,2021-05-05,36,5,新弘国际城(公寓),1,1,1,1,1,3,18,3,3,1,1
3室2厅1厨3卫        ,高,195,复式              ,板楼       ,南   ,2001-01-01,精装     ,钢混结构  ,一梯三户           ,无           ,2021-03-05,735,37668,2021-05-05,62,56,绿洲长岛花园,3,2,1,3,0,3,18,3,3,0,3
1室2厅1厨1卫        ,高,69,平层              ,塔楼       ,西南   ,2011-01-01,精装     ,框架结构  ,五梯十一户           ,有           ,2021-05-18,821,117926,2021-05-26,9,0,乐活居,1,2,1,1,1,0,35,3,0,1,3
2室1厅1厨1卫        ,高,74,平层              ,板楼       ,南   ,1994-01-01,精装     ,砖混结构  ,一梯两户           ,无           ,2021-05-22,273,36467,2021-05-26,5,9,杨泰三村,2,1,1,1,1,3,18,3,2,0,3
2室2厅1厨1卫        ,中,81,,板塔结合       ,南   ,2015-01-01,精装     ,钢混结构  ,一梯两户           ,有           ,2021-05-19,343,42185,2021-05-26,8,1,虹桥宝龙城,2,2,1,1,-1,2,18,3,3,1,0
1室1厅1厨1卫        ,高,40,,板楼       ,南   ,1995-01-01,其他     ,砖混结构  ,一梯四户           ,无           ,2021-05-26,204,51000,2021-05-26,1,0,幸福新苑,1,1,1,1,-1,3,18,0,2,0,3
2室0厅1厨1卫        ,低,49,平层              ,板楼       ,南   ,1995-01-01,精装     ,砖混结构  ,一梯四户           ,无           ,2021-04-23,232,46850,2021-05-26,33,51,桃浦七村雪松苑,2,0,1,1,1,3,18,3,2,0,1
3室2厅1厨2卫        ,低,128,平层              ,板楼       ,南   ,2005-01-01,精装     ,钢混结构  ,一梯两户           ,无           ,2020-10-06,590,46083,2021-05-26,233,180,桃浦二村永汇新苑,3,2,1,2,1,3,18,3,3,0,1
3室1厅1厨1卫        ,低,74,平层              ,板楼       ,南   ,1994-01-01,简装     ,砖混结构  ,一梯两户           ,无           ,2021-05-15,485,64814,2021-05-26,12,6,清涧六街坊,3,1,1,1,1,3,18,2,2,0,1
2室2厅1厨1卫        ,低,90,平层              ,板楼       ,北 南   ,2008-01-01,精装     ,钢混结构  ,一梯两户           ,无           ,2021-05-20,860,95123,2021-05-26,7,10,大上海紫金城,2,2,1,1,1,3,16,3,3,0,1
2室0厅1厨1卫        ,低,40,平层              ,板楼       ,南 北   ,1983-01-01,简装     ,砖混结构  ,一梯四户           ,无           ,2021-05-12,320,78818,2021-05-26,15,25,长风二村长风馨苑,2,0,1,1,1,3,23,2,2,0,1
